year,initial_Pmax_Wp,remaining_capacity_percent,aging_loss_percent,remaining_Pmax_Wp,annual_degradation_percent,plant_initial_capacity_MWp,plant_remaining_capacity_MWp,estimated_module_count,source,note
0,530.0,100.0,0.0,530.0,0.0,47.5,47.5,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
14,530.0,92.15,7.849999999999994,488.395,0.45,47.5,43.77125,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
15,530.0,91.7,8.299999999999997,486.01,0.45,47.5,43.5575,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
16,530.0,91.25,8.75,483.625,0.45,47.5,43.34375,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
17,530.0,90.8,9.200000000000003,481.24,0.45,47.5,43.13,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
18,530.0,90.35,9.650000000000006,478.855,0.45,47.5,42.91625,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
19,530.0,89.9,10.099999999999994,476.47,0.45,47.5,42.7025,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
20,530.0,89.45,10.549999999999997,474.085,0.45,47.5,42.48875,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
21,530.0,89.0,11.0,471.7,0.45,47.5,42.275,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
22,530.0,88.55,11.450000000000003,469.315,0.45,47.5,42.06125,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
23,530.0,88.1,11.900000000000006,466.93,0.45,47.5,41.8475,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
24,530.0,87.65,12.349999999999994,464.545,0.45,47.5,41.63375,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
25,530.0,87.2,12.799999999999997,462.16,0.45,47.5,41.42,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
26,530.0,86.75,13.25,459.775,0.45,47.5,41.20625,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
27,530.0,86.3,13.700000000000003,457.39,0.45,47.5,40.9925,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
28,530.0,85.85,14.150000000000006,455.005,0.45,47.5,40.778749999999995,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
29,530.0,85.4,14.599999999999994,452.62,0.45,47.5,40.565000000000005,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
30,530.0,84.95,15.049999999999997,450.235,0.45,47.5,40.35125,89622.64150943396,LONGi Hi-MO 5 LR5-72HBD datasheet-based warranty simulation,Datasheet-based degradation model only; not measured field degradation.
